Country,Capped Values,Max Rate Before,Max Rate After,Max Rate Reduction
Bosnia and Herzegovina,0,24.068,24.068,0.0
Botswana,0,23.106,23.106,0.0
Djibouti,0,27.713,27.713,0.0
Algeria,0,14.057,14.057,0.0
Spain,0,17.857,17.857,0.0
Greece,0,15.899,15.899,0.0
St. Lucia,0,25.224,25.224,0.0
North Macedonia,0,33.93,33.93,0.0
Montenegro,0,19.09,19.09,0.0
Namibia,0,22.254,22.254,0.0
Eswatini,0,34.153,34.153,0.0
South Africa,0,34.007,34.007,0.0
