Model,RMSE,MAE,R2,MAPE (%),MASE
Stacked Ensemble,1.0584994176644729,0.6933952170894534,0.9424296797127636,11.070630194194438,1.4409656828933266
Elastic Net,1.066210827303798,0.6860214470985422,0.9415877983706458,11.056862985132563,1.4256420272802233
XGBoost,1.080770402464939,0.7074977782416942,0.9399816178703656,11.249866253325177,1.4702726440035905
Random Forest,1.094025342854494,0.7227088456015219,0.9385004180441844,11.534893083022885,1.5018832255672976
SVR (RBF),2.064130011488874,1.474774976560504,0.7810769472815208,25.263134322670368,3.0647747184263343
